名称,级别,所在地区,详情链接,简介,大门票参考,景交费用参考,费用区间参考,开放时间,适宜季节,建议游玩时间,旅游景区级别,详细地址,官方网站,抓取状态,自然保护区等级,森林公园等级,国家风景名胜区,度假区级别,国家级水利风景区,地质公园级别,遗产项目编号,文物保护单位,官网,博物馆等级,地址,湿地级别,中文名,占地面积,主管部门,免票时间,企业官网,开盘时间,所在地址,外文名,成立时间,藏品数量
那拉提旅游风景区,5A,伊犁哈萨克自治州,https://www.maigoo.com/citiao/3726.html,那拉提旅游风景区地处天山腹地，以壮美的草原风光、浓郁的民族风情、悠久的历史文化构成了独具特色的边塞风光，由高山草原观光区、哈萨克民俗风情区、旅游生活区组成，拥有那拉提草原、柯孜拉霞瀑布、望天洞、那拉提度假村、国际赛马场、巩乃斯河漂流及哈萨克民俗风情园等景点。景区既有草原的辽阔，又有溪水的柔美，既有群山的俊秀，又有松林如涛的气势，集蓝天白云、冰川雪峰、森林草原、峡谷河流于一体，有“人间天堂”之美称。,95元,区间车24-60元，索道68元往返130元,100~200元,08:30~20:00,全年,1天,5A,新疆 伊犁哈萨克自治州 新源县 那拉提镇,点击查看,成功,,,,国家级(2020年),,,,,,,,,,,,,,,,,,
太行山大峡谷八泉峡景区,5A,长治市,https://www.maigoo.com/citiao/304233.html,八泉峡原名“八道水”，位于太行山大峡谷中段，因峡谷中有八股泉水同出一地而得名，面积24.11平方公里，最低海拔600余米，最高海拔1400余米，最大落差约1100米，由门楼景观、峡谷景观、索道景观和步道景观四大游览区域，主要有雄鸡唱晓、中天门、玉皇阁、高峡平湖、灵猴谷和小中大八泉眼等百余处景观。峡谷内有重峦叠嶂的山峰、鬼斧神工的峭壁、千姿百态的山石、绿浪滔天的林海、潺潺流淌的泉水、清澈见底的池潭等景观，集江河峡谷、石灰岩地区干旱峡谷和溪流峡谷诸般景致为一体，被称为“太行第一雄峡”。,旺季140元淡季120元,10-130元,300~400元,旺季7:00-16:00；淡季8:00-15:00,,,5A,山西省 长治市 壶关县 大峡谷镇,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
金丝峡景区,5A,商洛市,https://www.maigoo.com/citiao/3680.html,商洛金丝峡景区，即金丝大峡谷国家森林公园，总长度20.5公里，纵深10多公里，内有白龙峡、黑龙峡、青龙峡、石燕寨和丹江源五大景区。金丝峡景区地质资源丰富，地质景观品位独特，山势巍峨雄伟，风光旖旎多姿，有多处垂直陡峭的山峰，各种各样的溶洞；多处深潭、狭窄悠长的深谷，还有十三级流泉瀑布等景观，是秦岭地区罕见的、完整的嶂谷地质构造，曾入围“神奇西北100景”榜单、。,100元,景交车30元，索道单程60元往返90元,100~200元,07:30~16:30,,3~4小时,5A,陕西省 商洛市 商南县 金丝峡镇,点击查看,成功,,国家级,,,国家级,国家级,,,,,,,,,,,,,,,,
颐和园,5A,海淀区,https://www.maigoo.com/citiao/3378.html,颐和园前身为清漪园，始建于清乾隆十五年，与承德避暑山庄、拙政园、留园并称为中国四大名园。它以昆明湖、万寿山为基址，以杭州西湖为蓝本，汲取江南园林的设计手法而建成，集传统造园艺术之大成，借景周围的山水环境，既有皇家园林恢弘富丽的气势，又充满了自然之趣，高度体现了中国园林“虽由人作，宛自天开”的造园准则，被誉为“皇家园林博物馆”。,旺季30元，淡季20元,,100元以下,06:30~18:00,全年,4~5小时,5A,北京市 海淀区 新建宫门路19号,点击查看,成功,,,,,,,880(世界文化遗产),国家第一批(清朝),,,,,,,,,,,,,,
普陀山风景名胜区,5A,舟山市,https://www.maigoo.com/citiao/3773.html,普陀山风景名胜区总面积47.57平方千米，由普陀山岛、洛迦山岛和朱家尖岛东部三部分组成，集“佛、海、沙、石”于一体，是中国唯一海岛自然风光和宗教历史文化兼胜的风景名胜区。普陀山岛被大海怀抱，金沙绵亘，景色优美，气候宜人，历朝相继在此兴建寺院，既有悠久的佛教文化，又有丰富的海岛风光，素有“海天佛国”、“南海圣境”之称。,旺季160元，淡季120元,索道单程40元，往返70元,300~400元,06:30~21:50,全年,1~2天,5A,浙江省 舟山市 普陀区 梅岑路1号,,成功,,,1982年,,,,,,,,,,,,,,,,,,,
新乡八里沟,5A,新乡市,https://www.maigoo.com/citiao/117261.html,八里沟位于太行山南麓，河南、山西两省交界之处海拔300米至1700米落差地带，总面积42平方公里，属典型的南太行风光。八里沟景区分为桃花湾、山神庙、天河瀑布、红石河4个旅游景段，景区内剑峰千仞，沟壑奇幽，飞瀑鸣涧，清泉潺流，林木葱茏，花草馥郁，荟萃了太行山水精华，集奇、险、俊、秀、幽于一谷，号称“太行之魂、中华风骨”，被园林专家誉为“亚洲一绝”。,120元,10-70元,200~300元,08: 00~17: 00,全年,1~2天,5A,河南省 新乡市 辉县市 关山迎宾大道,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
武功山,5A,萍乡市,https://www.maigoo.com/citiao/3597.html,武功山风景区属罗霄山脉北段，绵延120公里，总面积260余平方公里，历史上曾与庐山、衡山并称江南三大名山，有“衡首庐尾武功中”之称。萍乡武功山有“峰、洞、瀑、石、云、松、寺”齐备的山色风光，由金顶景区、羊狮幕景区、九龙山、发云界四大区块组成，以其独特的高山草甸、云海、日出、晚霞等自然景观而闻名，同时也是道教和佛教的发源地之一。其山体系片麻岩和花岗岩质，山上弧形状的终碛垄和波状的冰碛丘陵等实属国内罕见。,70元,索道25-65元,200~300元,08:00-17:00,,1~3天,5A,江西省 萍乡市 芦溪县,点击查看,成功,,国家级,2005年,,,"世界级,国家级",,,,,,,,,,,,,,,,
神仙居景区,5A,台州市,https://www.maigoo.com/citiao/3783.html,神仙居主峰大青岗，海拔1271米，地质构造独特，是世界上规模较大的火山流纹岩地貌集群，一山一水、一崖一洞、一石一峰，都能自成一格，形成“观音、如来、天姥峰、云海、飞瀑、蝌蚪文”六大奇观。山上留有清朝乾隆年间县令何树萼题“烟霞第一城”，意云蒸霞蔚之仙居，景色秀美，天下第一。景区南北两侧，为江南峡谷风光，林泉相依，千峰林立，气象恢弘，以岩奇、瀑雄、谷幽、洞密、水清、雾美取胜。,110元,索道上65元下55元,300~400元,08:00~18:00,,1天,5A,浙江省 台州市 仙居县 白塔镇,点击查看,成功,,,,,,国家级（2018年第八批）资格,,,,,,,,,,,,,,,,
仙都国家级风景名胜区,5A,丽水市,https://www.maigoo.com/citiao/3759.html,仙都国家级风景名胜区位于丽水市缙云县境内，是一处以峰岩奇绝、山水神秀为景观特色，融田园风光与人文史迹为一体，以观光、避暑休闲和开展科学文化活动为一体的国家级重点风景名胜区。仙都风景区境内境内九曲练溪，峰岩奇绝，山水神秀，云雾缭绕，田园牧童，村舍炊烟，构成了一条“九曲练溪，十里画廊”的带形风景线，有“桂林之秀、黄山之奇、华山之险”美誉。,100元,景交车20元,100~200元,7:30~17:30,4~6月,1~2天,5A,浙江省 丽水市 缙云县 鼎湖路,点击查看,成功,,,1994年,,,国家级（2018年第八批）资格,,,,,,,,,,,,,,,,
腾冲火山热海旅游区,5A,保山市,https://www.maigoo.com/citiao/3751.html,腾冲地热火山风景名胜区，即腾冲地热火山国家地质公园，位于云南省西部国陲，与缅甸接壤，由火山和热海景区组成，境内分布着气泉、热泉、温泉80多处，以及90多座火山锥，为我国第二大热气田。火山景区是集火山观光、户外休闲、环境康养、地质科考、科普教育为一体的综合型国家地质公园。热海景区是腾冲地热显示最为集中的地区，是中国三大地热区之一，在明清时期就享有“一泓热海”之美誉。,热海景区50元，火山景区35元,游览车均为单程10元双程15元,100~200元,全天,2~4月，9~11月,2~6天,5A,云南省 保山市 腾冲县新村城,点击查看,成功,,,1994年,,,,,,,,,,,,,,,,,,,
鼓浪屿,5A,厦门市,https://www.maigoo.com/citiao/3401.html,鼓浪屿面积约1.88平方公里，岛上气候宜人，凭借其独特的景色，有着“不游鼓浪屿，枉费厦门行”的说法，以及素有“海上花园”之誉。厦门鼓浪屿留存着千余幢中西合璧、风格各异的风貌建筑，向世人呈现“万国建筑博览”的艺术氛围；还保留着音乐文化的传统，建成了钢琴博物馆和风琴博物馆，深厚的音乐文化积淀使鼓浪屿享有“钢琴之岛”“音乐之乡”的美誉。,免费,往返船票35元,100~200元,全天,四季,1~2天,5A,福建省 厦门市 思明区 金丰南大街大板城,点击查看,成功,,,,,,,1541(世界文化遗产),,,,,,,,,,,,,,,
九寨沟,5A,阿坝藏族羌族自治州,https://www.maigoo.com/citiao/3701.html,九寨沟是一条纵深50余千米的山沟谷地，因沟内有树正寨、荷叶寨、则查洼寨等九个藏族村寨坐落在这片高山湖泊群中而得名，是中国第一个以保护自然风景为主要目的的自然保护区。九寨沟风景区是水的世界，也是瀑布王国，被人誉为“童话世界”，号称“水景之王”，四周雪峰高耸，湖水清澈艳丽，飞瀑多姿多彩，急流汹涌澎湃，林木青葱婆娑，高峰、彩林、翠海、叠瀑、藏族风情，好似童话中的仙境一般。,旺季190元，淡季80元,观光车旺季90元，淡季80元,200~300元,8:30~17:00,四季,1~3天,5A,四川省 阿坝藏族羌族自治州 九寨沟县 漳扎镇,点击查看,成功,国家级(1978年建区),,1982年,,,国家级(2004年第三批)正名,637(世界自然遗产),,,,,,,,,,,,,,,
五台山风景名胜区,5A,忻州市,https://www.maigoo.com/citiao/3664.html,五台山最高海拔3061米，是文殊菩萨的道场，与四川峨眉山、浙江普陀山和安徽九华山并称为四大佛教名山，素有“金五台，银峨眉，铜普陀，铁九华”之称，有着悠久的历史文化和规模宏大的寺庙建筑群。五台山也是中国一个青庙黄庙交相辉映的佛教道场，现存寺院47处，台内39处，台外8处，其中多敕建寺院，多朝皇帝前来参拜。因五台山北部阴谷处有终年不化的“千年雪”“万年冰”，北台盛夏时亦可偶见降雪，因此五台山亦称清凉山。,135元,公交车2-6元,100~200元,全天,夏季,2~3天,5A,山西省 忻州市 五台县 台怀镇,点击查看,成功,,国家级,1982年,,,国家级(2005年第四批)正名,1279(世界文化景观遗产),,,,,,,,,,,,,,,
三清山风景区,5A,上饶市,https://www.maigoo.com/citiao/3592.html,三清山因玉京、玉虚、玉华三峰峻拔，宛如道教玉清、上清、太清三位最高尊神列坐山巅而得名；景区内千峰竞秀、万壑奔流、古树茂盛、珍禽栖息，终年云缠雾绕，充满仙风神韵，被誉“世界最美的山”。三清山风景区是有着1600余年历史的道教文化发祥地，是道教名山，乃道教丹鼎派的道场，东晋时葛洪在此结庐炼丹成为开山鼻祖，共有宫、观、殿、府、坊、泉、池、桥、墓、台、塔等古建筑遗存及石雕、石刻230余处，被誉为“中国古代道教建筑的露天博物馆”。,120元,索道上行70元，下行票55元,200~300元,08:00~17:30,春夏季,1~2天,5A,江西省 上饶市 玉山县 三清乡,点击查看,成功,,,1988年,,,"世界级(2012年),国家级(2005年)正名",1292(世界自然遗产),,,,,,,,,,,,,,,
大连金石滩国家旅游度假区,5A,大连市,https://www.maigoo.com/citiao/3626.html,大连金石滩国家旅游度假区是一处集低山丘陵、海蚀地貌、海滨风光等自然景色以及现代人文景观于一体的，以滨海度假、体育休闲、商务娱乐、海滨游览观光、地质科考等为主要内容的海滨型国家级风景名胜区。景区陆地面积70.34平方公里，海域面积58平方公里，海岸线30多公里，蓝天碧海、白沙青山交相辉映，凝聚了3-9亿年地质奇观，形态各异，巧夺天工，被称为“凝固的动物世界”、“天然地质博物馆”。,免费,旅游观光环线车20元，黄金海岸小火车/主题公园巴士5元，游艇220元,400~500元,08:00~17:30,5月~9月,1~2天,5A,辽宁省 大连市 金州区 龙谷街,,成功,,,1988年,国家级(1992年),,,,,,,,,,,,,,,,,,
丹霞山,5A,韶关市,https://www.maigoo.com/citiao/3425.html,丹霞山位于仁化县境内，因山岩由红砂石构成“色渥如丹，灿若明霞”而得名，向以“奇、雄、险、秀、幽、古、广”著称，是广东省四大名山之首、岭南第一奇山、世界“丹霞地貌”命名地，别名中国红石公园。丹霞山总面积292平方千米，山势绵亘、峰林陡峭、红岩丹壁，是发育最典型、类型最齐全、造型最丰富、景色最优美的丹霞地貌。丹霞山风景分上中下三层，各具特色，主要由巴寨景区、锦江游览区、阳元山、翔龙湖—卧龙岗游览区、丹霞山景区等组成。,100元,,100~200元,08:00~18:00,3~5月，10~12月,2天,5A,广东省 韶关市 仁化县,点击查看,成功,国家级(1995年建区),国家级森林公园,1988年,,,世界级(2004年),世界自然遗产,,,,,,,,,,,,,,,
神农架国家级自然保护区,5A,神农架林区,https://www.maigoo.com/citiao/3524.html,神农架风景区是世界地质公园、国家地质公园、国家森林公园，也是以秀绿的亚高山自然风光，多样的动植物种，人与自然和谐共存为主题的森林生态旅游区。神农架以原始、神秘闻名于世，集自然奇观、科考探秘、天人和谐于一体，区内山高谷深，林木茂密，怪石瀑布遍布，气候复杂多变，四季景色迷人。神农架独特的自然环境、人文历史，造就了极其丰富、珍贵的自然和人文景观，也孕育了景色宜人、钟灵毓秀的旅游环境，有“神农天园”之称。,30-130元,神农顶换乘车60元，大九湖换乘70元,300~400元,06:30~17:30,5~11月,2~4天,5A,湖北省 神农架林区,点击查看,成功,国家级(1982年建区),国家级,,,,"世界级(2013年),国家级(2005年)",1509(世界自然遗产),,,,,,,,,,,,,,,
刘公岛,5A,威海市,https://www.maigoo.com/citiao/3651.html,刘公岛，是北洋水师的诞生地和甲午战争的古战场，在国防上有着极其重要的地位，素有“东隅屏藩”和“不沉的战舰”之称。岛上自然风光优美，海岸线长14.95公里，植物茂密，松涛翠柏，郁郁葱葱，有“海上仙山”和“世外桃源”的美誉；岛内人文景观丰富独特，既有上溯千年的战国遗址，也有下至清朝北洋海军提督署、水师学堂、古炮台等甲午战争遗址，还有众多英租时期遗留下来的欧式建筑。,91元,往返船票31元，游览车20元，索道单程30元往返60元,200~300元,07:00~17:00,3~11月,1天,5A,山东省 威海市 环翠区 海滨北路101-2号,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
五大连池风景区,5A,黑河市,https://www.maigoo.com/citiao/3509.html,五大连池是集生态旅游、休闲度假、保健康疗、科学考察为一体的高含量、多功能、综合型国际旅游胜地，被誉为镶嵌在欧亚大陆桥上一颗璀璨的明珠。五大连池风景区总面积为1060平方公里，由五大连池湖区组成串珠状的湖群和周边火山群地质、人文景观等组成，主要地质遗迹包括14座孤峰状火山、11座盾形火山和8座岩渣锥火山、800多平方公里的熔岩台地、星罗棋布的河流和湖泊、多处出露地表的天然冷矿泉，曾获中国矿泉水之乡、中国著名火山之乡等荣誉。,旺季20-45元，淡季10-20元,,100~200元,旺季6:00~18:30，淡季8:00~17:00,5~9月,1~2天,5A,黑龙江 黑河市 五大连池市 五大连池镇药泉东路北侧,点击查看,成功,国家级(1980年建区),,1982年,,,"世界级(2004年),国家级(2001年)正名",2001年(世界遗产预选),,,,,,,,,,,,,,,
夫子庙-秦淮风光带,5A,南京市,https://www.maigoo.com/citiao/3575.html,南京夫子庙·秦淮风光带风景名胜区以中国第一所国家最高学府——夫子庙古建筑群为中心、中国第一历史文化名河——秦淮河为轴线、古代城垣——明城墙为纽带，东起东水关，西至西水关(今水西门)，面积4.69平方千米。景区分为夫子庙-白鹭洲景区、老门东-老门西景区、大报恩寺-金陵兵工厂景区、朝天宫-评事街景区，集自然风光、山水园林、庙宇学堂、街市民居、乡土人情、美食购物、科普教育、节庆文化于一体，是南京历史文化荟萃之地。,免费,60-140元,200~300元,全天,全年,1天,5A,江苏省 南京市 秦淮区 平江府路80-1号,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
北极村,5A,大兴安岭地区,https://www.maigoo.com/citiao/3512.html,北极村是中国“北方第一哨”所在地，也是中国最北的城镇，素有“金鸡之冠”、“神州北极”和“不夜城”之美誉，是全国唯一观赏北极光和极昼极夜的最佳观测点。北极村古风纯朴，静溢清新，乡土气息浓郁，植被和生态环境保存完好，融神州北极、神奇天象、神秘源头于一体，集找北、找美、找冷、找纯、找静于一身，富有神、奇、秀、野、幽、静的神韵。夏至前后以及深秋北极村朗月夜常常万里晴空，是观赏北极光的理想时节。,68元,观光车30元,100元以下,全天,夏季，冬季,1天,5A,黑龙江 大兴安岭地区 漠河市,点击查看,成功,国家级(2006年建区),国家级,,,,,,,,,,,,,,,,,,,,
黄山风景区,5A,黄山市,https://www.maigoo.com/citiao/3364.html,黄山风景区位于安徽南部黄山市境内，境内群峰竞秀，有千米以上高峰88座，其中“莲花”、“光明顶”、“天都”为三大主峰，海拔均逾1800米。黄山与长江、长城、黄河同为中华壮丽山河和灿烂文化的杰出代表，被世人誉为“人间仙境”、“天下第一奇山”，素以奇松、怪石、云海、温泉、冬雪“五绝”著称于世（黄山四绝分别是奇松、怪石、云海、温泉），历来享有“五岳归来不看山，黄山归来不看岳”的美誉。,旺季190元，淡季150元,索道单程65-100元，交通车往返8-19元,400~500元,06:30~16:30，周六06:00~16:30,四季,2~3天,5A,安徽省 黄山市 黄山区 205国道,点击查看,成功,,,1982年,,,"世界级(2004年),国家级(2002年)正名",547(世界文化与自然),,,,,,,,,,,,,,,
雁荡山风景名胜区,5A,温州市,https://www.maigoo.com/citiao/3772.html,雁荡山，又名雁岩、雁山，因山顶有湖，芦苇茂密，结草为荡，南归秋雁多宿于此，故名雁荡，素有“海上名山、寰中绝胜”之誉。雁荡山风景区以山水奇秀闻名，以奇峰怪石、古洞石室、飞瀑流泉称胜，主要包括三折瀑、雁湖西石梁洞、显胜门、仙桥—龙湖、羊角洞、方山、长屿硐天、楠溪江等景点，其中，灵峰、灵岩、大龙湫三个景区被称为“雁荡三绝”。雁荡山火山地貌是是中生代白垩纪流纹质破火山的代表，是研究流文质火山岩的天然博物馆。,免费,索道上25元下20元，旅游专线20-80元,200~300元,07:30~21:00,夏季,2天,5A,浙江省 温州市 乐清市 雁荡镇响岭头村,点击查看,成功,,国家级,1982年,,,"世界级(2005年),国家级(2004年)正名",2001年(世界遗产预选),,,,,,,,,,,,,,,
武汉黄陂木兰文化生态旅游区,5A,武汉市,https://www.maigoo.com/citiao/3527.html,黄陂木兰文化生态旅游区占地面积约18.6平方公里，由木兰山、木兰天池、木兰草原、木兰云雾山四大景区组成，是集食、住、行、游、购、娱于一体，是华中地区较大的城市生态旅游景区群，被誉为中部最美的生态文化休闲之都。旅游区不仅可以满足看山、看森林、看草原和看花的需求，还完好的保存了7.5亿年前的地质构造。,,,,各景区时间不一,四季,1天,5A,湖北省 武汉市 黄陂区,,成功,,,,,,,,,,,,,,,,,,,,,,
岳麓山·橘子洲旅游区,5A,长沙市,https://www.maigoo.com/citiao/3555.html,岳麓山·橘子洲旅游区包含岳麓山景区以及橘子洲景区两大部分，为世界罕见的集“山、水、洲、城”于一体的全国重点风景名胜区，同时也是湖湘文化传播基地和爱国主义教育的示范基地。岳麓山或称麓山景区，兹山荟萃湘楚文化精华，名胜古迹众多，植物资源丰富，革命烈士墓葬群集，桔洲横前，古城相望，山、江、洲、城浑然一体，实为天作之胜。橘子洲则是湘江下游众多冲积沙洲中面积最大的沙洲，被誉为“中国第一洲”，有毛泽东青年艺术雕塑、问天台等景点。,免费,,100元以下,08:30~17:00,秋末冬初,1天,5A,湖南省 长沙市 岳麓区 登高路58号,,成功,,,2002年,,,,,,,,,,,,,,,,,,,
